question,answer,source
为什么华人的心脏问题要比国外复杂的多？,因为华人客群是老年人，身体机能比较脆弱,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_52.txt
乳腺癌患者在手术期间可以吃哪些保健品？,可以吃灵芝孢子粉，牦牛骨胶原蛋白肽，磷虾油，三宝丸,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_52.txt
服用肽后血压升高是正常情况吗？,不是正常情况，不适合空腹服用肽，特别是夏季,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_52.txt
服用新款辅酶后出现上火、口渴、内热，有什么解决办法？,天气热，多喝点水,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_52.txt
空腹服用肽是否适合老年人？,不适合，特别要注意基础病因素,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_52.txt
肽的最佳服用方法是什么？,分开慢慢摄入，控制吸收率,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_52.txt
这位客户的红包每次都显示发送成功了，但是他的手机上又显示没收到，是怎么回事,客户反馈红包发送成功但手机未收到，可能是网络问题或手机设置的原因，建议客户检查手机网络连接及相关设置，并联系技术部进行进一步排查。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_15.txt
这种是氧化性的还是还原性的,对于这种化学物质，需要查阅具体的化学信息，无法根据图片确认其氧化性或还原性。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_15.txt
最近这一批的孢子粉没有油性了，不粘袋了，是怎么回事,根据陆荣老师直播所述，这是由于孢子粉的袋袋升级所致，建议之前的小袋进行对比以确认。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_15.txt
谁有还原型辅酶Q10的说明书啊,请提供说明书的照片，以便家人们查看。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_15.txt
保健品储存方式错误会导致什么问题？,保健品储存方式错误可能导致潮湿，导致食用安全问题。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_82.txt
人康二十周年庆典的直播预告在什么时间？,人康二十周年庆典的直播预告在 2023-08-14 10:31:14。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_82.txt
人康二十周年庆典直播的开始时间和结束时间是？,人康二十周年庆典的直播在 14：00 开启，14：15分开始预热互动抽奖，14：30分正式开始，预计16：00结束。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_82.txt
人康二十周年庆典直播间的抽奖是什么形式？,人康二十周年庆典直播间的抽奖采用大屏滚动抽奖，共计有 100 个 20元、30 个 66元、20 个 200元奖励。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_82.txt
人康二十周年庆典直播使用的视频内容会在什么时候上传至微盘？,人康二十周年庆典直播使用的视频内容会在直播结束后上传至微盘，供大家及时查阅使用。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_82.txt
观看人数情况不准确，应该找谁解决？,观看人数情况不准确，可以找技术部门进行解决。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_82.txt
谁负责处理退回的快递？,会转寄给所属市场的库管手里,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_152.txt
有多少身份信息不正确的需要处理？,另外还有300多单身份信息不正确的,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_152.txt
现在下单需等多久才能发货？,现在下单25号才能发货,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_152.txt
辅酶快递发错地址怎么处理？,现在发到黑龙江了，需要解决一下,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_152.txt
为什么辅酶Q10不能发货了？,辅酶Q10正在陆续发货中，平台确认了实际库存数，一会会重新上架产品。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_130.txt
客户为什么无法下单？,平台正在确认库存，一会会重新上架产品。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_130.txt
店长说新辅酶什么时候发货？,店长正在陆续发货中，平台确认了实际库存数，一会会重新上架产品。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_130.txt
虾油出现异常情况怎么解释？,联系采购给顾客换并将破损的快递给工厂，同时反馈问题给工厂解决。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_130.txt
辅酶Q10为何搜不到且买不到了？,平台正在确认库存，并将会重新上架产品。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_130.txt
服用肽半个月后出现小疙瘩怎么回事，需要改变服用量吗？,可以尝试减少服用量并且水溶液稀释后分次服用,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_44.txt
安捷康导致脚抽筋，跟服用安捷康有关系吗？,抽筋的原因正常两种缺钙和着凉，问问是不是开窗户吹着了，或者开空调,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_44.txt
牦牛肽的作用是什么？,牦牛肽本身是牦牛骨头中提取的，能生髓养神经，针对神经衰弱和失眠效果好。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_65.txt
为什么服用还原型辅酶会导致肚胀？,这里的还原型辅酶导致肚胀的原因需要进一步了解服用人的情况和服用量，建议咨询专业人士获取更准确的解答。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_65.txt
店里有南高基产品吗？,南高基产品是否有售，请直接咨询相关门店或线上官方渠道了解最准确的信息。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_65.txt
灵芝孢子粉会导致顾客心慌吗？,灵芝孢子粉可能对个体产生不同反应，如果出现心慌等异常症状，建议及时就医并停止使用。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_65.txt
肾有问题的能否服用肽？,肾有问题的不能服用肽。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_168.txt
缺乏蛋白质会导致什么问题？,缺乏蛋白质可以导致肾脏排泄异常，眼皮肿和腿部水肿。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_168.txt
过度服用蛋白质会对肾小球造成什么影响？,过度服用蛋白质会给肾小球增加工作负担。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_168.txt
肽修复的是什么？,肽修复的是骨粘膜，不是肾脏基底膜。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_168.txt
肽的生产许可日期到期了，需要如何解释？,肽的生产许可日期到期了，说明需要核实是否有新的批准。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_168.txt
如何解释盒子上的肽许可证过期？,需要核实是否有新的生产许可，并解释给顾客。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_168.txt
如何查看产品资质信息？,可以查看微盘里上传的产品资质信息。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_168.txt
如何规范下单?,每次只能下8瓶，间隔2小时再下第二单，最多下24瓶。每个地址上限3单。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_111.txt
在下单过程中出现什么情况?,暂时下不了单的门店给会员输出销售火爆，导致系统反应慢。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_111.txt
什么情况下跨境平台已经恢复?,跨境平台已经恢复，可以正常下单了，新注册用也恢复正常了。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_111.txt
如何处理下单数量超额、金额超额?,部分市场下单时由于下单数量超额，金额超额的，请尽快申请退款。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_111.txt
如何查无磷虾油批号?,扫码输入批号显示无此批号。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_111.txt
有哪些员工完成了开户?,第三波员工开户完成公示，包括西安赵玉仲、姚喜、吴兵、梁卓章、张义勤，青岛赵国安，太原张彦琴、李慧敏，石家庄周树星、高佳松、何徽，包头霍佳。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_111.txt
大便不成型，吃益生菌该怎么去吃？,益生菌建议在早中晚饭后半小时每次2袋，水温不超过37℃，与消炎药、灭菌药物间隔2小时以上。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_55.txt
吃三宝丸过敏，出现疹子，如何解释给顾客？,建议向顾客解释，三宝丸可能会引起过敏反应，不同人对不同保健品成分的耐受程度可能不同，建议停止食用并及时就医。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_55.txt
蓝莓片剂和冲剂有什么区别？,冲剂容易氧化反应，适用于吸收缓慢的中药颗粒剂型等；片剂通过包衣减缓有效成分和空气接触，缓慢释放有效成分，更适合保留标志性成分。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_55.txt
一氧化氮和磷虾油取决和优劣势如何解释？,一氧化氮是用于保鲜的常规方法，磷虾油主要用来抑制微生物生长，在保质期中起着保鲜作用。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_55.txt
羊奶粉里面有黑色虫子怎么办？,羊奶粉生产工艺有严格虫害和异物控制，虫子异物是不可能存在的，考虑为周围环境不卫生或者外因小飞虫异物混入,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_123.txt
羊奶粉跟口腔上火有关系吗？,吃乳粉上火这件事只存在婴儿时期，因为乳粉里的OPO结构脂不足，无法模仿母乳的脂肪结构，所以婴儿吃了会上火,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_123.txt
服用咱们还原型辅酶Q10后出现心慌，乏力，不想动，吃了速效和丹参滴丸有所缓解，还能继续服用辅酶Q10吗？,建议咨询医生，因为病症较复杂，需医生指导后继续服用辅酶Q10。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_109.txt
顾客吃2000亿益生菌烧心，喝1356亿没有这种情况，怎么回事儿呢？,正常情况下服用益生菌不会引起烧心，建议咨询医生并在医生指导下进行治疗，改善日常饮食，避免刺激肠胃。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_109.txt
服用灵芝孢子粉后大便颜色变成黑色了？怎么回事？,服用灵芝孢子粉后排泄物为棕黑色，这是正常现象，类似于服用红心火龙果后的情况。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_109.txt
顾客吃了还原性辅酶14天忽然有拔气的感觉怎么回事？有的时候心脏还会忽然的猛跳两下。,建议秋季呼吸障碍时，出门要佩戴口罩，并制定合理的锻炼计划，增强自身抵抗能力。需咨询医生以获得更多关于心脏问题的建议。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_109.txt
发货情况如何？,货都已经发了，很大部分订单昨天就收到了，小程序没更新，周六到明天都会陆续收到货,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_146.txt
如何申请退款？,一次下单24瓶，订单推送失败，无法发货，请申请退款,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_146.txt
尿蛋白能用磷虾油吗？,阿克磷虾油,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_83.txt
痛风可以吃磷虾油吗？,痛风可以吃磷虾油,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_83.txt
肺大泡、肺气肿吃磷虾油可以吗？,顾客想让我问一下肺大泡、肺气肿吃磷虾油可以吗,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_83.txt
吃完牦牛骨胶原蛋白肽腿肿了，脚肿，痛风，这个怎么解释？,吃完牦牛骨胶原蛋白肽腿肿了，脚肿，痛风，这个怎么解释,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_83.txt
顾客吃牦牛骨胶原蛋白肽早晚各2袋，吃到第8天，脖子脸上有红色疙瘩，可能是过敏，吃了一片扑尔敏，停三天没吃，疙瘩基本没了，像这种情况，该顾客还能不能吃牦牛骨胶原蛋白肽，,该顾客还能不能吃牦牛骨胶原蛋白肽,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_83.txt
甲状腺结节，而且尿蛋白高，担心吃阿克虾油会有影响？请问可以让顾客吃吗？一天让顾客吃多少的量？,甲状腺结节，而且尿蛋白高，担心吃阿克虾油会有影响？可以让顾客吃，但不建议多量,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_83.txt
服用磷虾油大便带油，是什么原因？,服用磷虾油大便带油的原因,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_83.txt
载脂蛋白偏高是怎么回事？顾客问能吃磷虾油吗？,载脂蛋白偏高是怎么回事？能吃磷虾油吗？,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_83.txt
辅酶Q10会导致眼皮肿吗？,辅酶Q10可能在刚开始服用时引起一些不适反应，如眼皮肿，这是身体在适应期的反应，一段时间后会消失。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_32.txt
辅酶Q10对意思好处是什么？,辅酶Q10是一种对心脏健康有益的抗氧化剂，可以帮助提高心脏功能、维持能量水平，还有助于减缓衰老过程。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_32.txt
辅酶Q10对高温环境运输的影响是什么？,辅酶Q10在高温环境下可能会产生黏连，建议采取隔温装置和低温航空仓等方式来改善运输方式，减少黏连问题。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_32.txt
如何判断产品是否纯进口？,可以通过原产地证和发货渠道来判断产品是否纯进口，保税仓直发和原产地证都是证明产品纯进口的方式。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_32.txt
羊奶粉的追溯码怎么查询?,您可以通过扫描羊奶粉包装上的二维码或者查询官方网站来获取羊奶粉的追溯码信息。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_177.txt
牛皮癣患者可以食用肽吗?,不建议牛皮癣患者食用肽，应该控制蛋白质摄入。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_177.txt
消化道问题患者能否食用孢子粉？,对于有消化道问题的患者，食用孢子粉前最好咨询医生或专业人士的建议，以确保安全。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_177.txt
甲减患者可以食用肽吗？,甲减患者可以适量食用肽。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_177.txt
胃息肉手术后可以服用益生菌吗?,术后是否能服用益生菌最好遵医嘱，具体情况需根据术后病情和医生建议来决定。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_177.txt
益生菌引起肚子胀的原因及处理方式？,肚子胀可能是由于益生菌引起的肠道排气，建议减少用量或者暂时停服并逐渐递增用量。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_177.txt
还原辅酶引起不适的原因及是否可以继续使用？,关于还原辅酶引起的不适，需要了解更多顾客的具体情况，以便做出判断。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_177.txt
主产品相关资质可以从哪里下载？,可以从企业微信微盘下载具体资质。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_118.txt
提前备货的时间和发货的时间差距这么大是什么原因？,根据国家规定的流程，提前备货与正常发货时间存在差距。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_118.txt
为什么提前备货时很快就能到货，而现在下单后却长时间没有发货？,根据国家规定流程，这种现象并不存在。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_118.txt
辅酶Q10的采购方式是怎样的？,辅酶Q10都是从网上现下单后经审核后发货，在保税区里的产品还未进口到国内。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_118.txt
针对购买辅酶Q10的提前备货问题，应该向哪个部门反馈？,可能需要向采购部反馈解决这个疑问。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_118.txt
店内出现漏发商品，应该向谁反映解决此问题？,可能需要联系客服专属人员解决漏发商品的问题。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_118.txt
磷虾油有可能引起胃部不适吗？,是的，有可能引起胃部不适，如胃热、烧心、不解大便等症状。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_98.txt
益生菌导致连续4天不排便，是否需要减量吃？,是的，连续4天不排便，建议减量吃，观察情况。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_98.txt
益生菌可以用在伤口上吗？,可以用在伤口上。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_98.txt
高磷脂含量的产品标签应如何标注？,高磷脂含量的产品标签应按照阿克的国际认证标准标注，而非实测值。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_98.txt
羊奶在保质期内颜色不一样，是否变质？,变质的羊奶颜色会发黄，不能饮用。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_98.txt
磷虾油导致睡眠不佳，是否有关？,是的，某些情况下磷虾油可能影响睡眠质量。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_98.txt
益生菌包装出现不一致的情况，是否是批次问题？,客户反应益生菌包装不一致，可能是批次问题或生产疏漏。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_98.txt
咱们产品在一然没有备案？,只需要查一然生物益生菌就可以了,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_11.txt
益生菌即食乳酸菌也是河北一然生产的跟咱的益生菌有什么区别？,菌株，活菌，克数都差的太多,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_11.txt
为什么盒子上写着即食型乳酸菌而不是即食型益生菌，怎么解答？,国家没有即时型益生菌的执行标准，所有的产品都是根据执行标准来标注的,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_11.txt
雷允上的灵芝孢子粉有临床报告吗？,百度百科灵芝孢子粉对癌症的影响,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_11.txt
顾客吃金虾油尿酸从400升到800是怎么回事？,蛋白质类对尿酸都有影响，尿酸要测血尿酸,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_11.txt
顾客服用金虾油，一天6粒，吃了一个月左右，没有吃任何海鲜类东西，月初400，月底检测800了，怎么解释？,影响尿酸的常见食物：啤酒，海带，豆腐，海鲜，动物内脏，菠菜，紫菜，火锅，狗肉等,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_11.txt
顾客吃完益生菌会引起头痛吗？ 是否还能继续服用？,头痛不一定是由益生菌引起，若症状持续建议停止服用并就医检查,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_11.txt
顾客吃了牛初乳生痰怎么解释？,天热了，上火而已，多喝水和产品无关,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_11.txt
顾客胃糜烂，可以喝肽吗？,可以适当服用小分子蛋白能够促进受损细胞修复，对于疾病治疗可起到一定的帮助。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_68.txt
肾炎患者可以服用金虾油吗？,可以适当少量服用，肾病不能进食高钾及高磷食物，磷虾油的钾含量并不高，但是还是含有微量的。如果肾病很严重那么还是要少服用！,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_68.txt
安捷康副作用太大，导致顾客过敏，怎么办？,过敏属于个人体质问题，词条很多都是推流买的，但是硫酸氨糖软骨有些人确实过敏，但是要知道过敏原是硫酸软骨素还是氨基葡萄糖，另外为什么过敏？很多人对氨基葡萄糖过敏是因为自己胃酸的酸碱度分泌异常引起的。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_68.txt
辅酶Q10货物问题该找谁联系？,新辅酶Q10的问题都联系关艳平就行。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_148.txt
能把牦牛骨胶原蛋白肽滴到眼睛里吗？,不能，眼睛很脆弱，研发部门说不可以。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_148.txt
顾客把牦牛骨胶原蛋白肽滴到眼睛里会有什么效果？,顾客在别人家滴过，说是效果特别好。但不建议这样使用，会影响门店运营，要宣传合法、严谨、科学、专业。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_148.txt
羊奶粉发黄怎么办？,羊奶粉发黄需要找专业人士解决。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_129.txt
为什么新辅酶订单好久了还不发货？,新辅酶订单已陆续开始发货。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_129.txt
服用虾油导致胆固醇升高怎么办？,虾油不是导致胆固醇升高的原因，饮食控制和检测肝脏可能更有帮助。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_129.txt
羊奶粉两袋倒出来两种颜色怎么回事？,关于羊奶粉两种颜色的情况需要向高管咨询。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_129.txt
为什么下单不能成功？,正在和平台确认下单问题。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_129.txt
辅酶什么时候能发货？,辅酶正在陆续发货中。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_129.txt
下单10天了还是待发货怎么办？,下单待发货的情况需要向相关负责人咨询。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_129.txt
保健品产品进入中国的流程是怎样的？,产品进入中国的流程一般包括从国外起飞，到达中国指定城市，经过海关免税仓清关处理，客户通过跨境平台下单购买，由跨境平台直邮给客户。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_33.txt
公司计划开展故事营销训练课程吗？,公司商学院计划开展故事营销训练课程，旨在帮助员工提升故事营销的能力，并面向全体员工征集讲师和故事素材。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_33.txt
如何处理异常的新辅酶订单？,关于新辅酶订单异常的处理，需要直接拨打专属客服电话（15959297616）进行处理，并通知店长将问题订单尽快交平台处理掉。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_33.txt
顾客服用磷虾油一天六粒后，排黑色疙瘩状大便，是怎么回事？,建议向专业医生咨询，此种情况可能需要注意身体反应和个体变异,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_6.txt
服用磷虾油嚼着吃的说吃到最后口感发酸 是正常的吗,根据公司建议，个别口感可能有一点酸，但为了更全面吸收，公司建议吞服,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_6.txt
咀嚼服用虾青素 胆碱等营养成分 会减少身体利用率吗？,咀嚼服用虾青素 胆碱等营养成分 会减少身体利用率，建议尽量不要咀嚼服用,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_6.txt
家人们，如何回复客户关于磷虾油的效果的问题？,产品有一定改善作用，但具体效果因人而异，每个人的身体状况不同，服用产品后的反馈也会不同,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_6.txt
什么是脑栓塞？,脑栓塞是栓子沿血循环进入脑动脉系统，引起动脉管腔闭塞，可能导致脑部供血不足或缺血性卒中。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_144.txt
磷虾油有什么作用？,磷虾油中的磷脂具有促进脂肪代谢、降低胆固醇、改善血液循环的作用。,/home/likegiver/Desktop/codes/2023_12/insurance_data_process/data/seg_txts/wanglili/part_144.txt
